Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account_or_bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,Other_debtors_or_guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,Foreign_worker,Status
smaller_than_0_DM,15,critical_account_or_other_credits_existing,furniture_or_equipment,1478,smaller_than_100_DM,bigger_than_7_years,4,male_and_single,none,4,car_or_other,44,none,own,2,skilled_employee_or_official,2,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,21,existing_credits_paid_back_duly_till_now,radio_or_television,1835,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,3,female_divorced_or_separated_or_married,none,2,real_estate,25,none,own,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
no_checking_account,36,existing_credits_paid_back_duly_till_now,radio_or_television,2299,bigger_than_500_smaller_than_1000_DM,bigger_than_7_years,4,male_and_single,none,4,car_or_other,39,none,own,1,skilled_employee_or_official,1,none,yes,1
no_checking_account,36,existing_credits_paid_back_duly_till_now,education,9055,unknown_or_no_savings_account,bigger_than_1_smaller_than_4_years,2,male_and_single,none,4,unknown_or_no_property,35,none,for_free,1,unskilled_or_resident,2,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,9,existing_credits_paid_back_duly_till_now,furniture_or_equipment,1313,smaller_than_100_DM,bigger_than_7_years,1,male_and_single,none,4,car_or_other,20,none,own,1,skilled_employee_or_official,1,none,yes,1
no_checking_account,10,existing_credits_paid_back_duly_till_now,education,727,bigger_than_500_smaller_than_1000_DM,bigger_than_7_years,4,male_and_single,none,4,unknown_or_no_property,46,none,for_free,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,12,delay_in_paying_off_in_the_past,radio_or_television,585,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,male_and_married_or_widowed,co-applicant,4,real_estate,20,none,rent,2,skilled_employee_or_official,1,none,yes,1
no_checking_account,28,critical_account_or_other_credits_existing,radio_or_television,2743,smaller_than_100_DM,bigger_than_7_years,4,male_and_single,none,2,car_or_other,29,none,own,2,skilled_employee_or_official,1,none,yes,1
no_checking_account,24,critical_account_or_other_credits_existing,others,6314,smaller_than_100_DM,unemployed,4,male_and_single,co-applicant,2,unknown_or_no_property,27,bank,own,2,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,36,critical_account_or_other_credits_existing,new_car,6614,smaller_than_100_DM,bigger_than_7_years,4,male_and_single,none,4,car_or_other,34,none,own,2,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,24,existing_credits_paid_back_duly_till_now,used_car,9277,unknown_or_no_savings_account,bigger_than_1_smaller_than_4_years,2,male_divorced_or_separated,none,4,unknown_or_no_property,48,none,for_free,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,10,existing_credits_paid_back_duly_till_now,radio_or_television,1924,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,1,male_and_single,none,4,building_society_savings_agreement_or_life_insurance,38,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",no,1
bigger_than_0_DM_but_smaller_than_200_DM,15,critical_account_or_other_credits_existing,radio_or_television,2728,unknown_or_no_savings_account,bigger_than_4_smaller_than_7_years,4,male_and_single,guarantor,2,real_estate,35,bank,own,3,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,18,all_credits_at_this_bank_paid_back_duly,radio_or_television,1940,smaller_than_100_DM,smaller_than_1_year,3,male_and_single,co-applicant,4,unknown_or_no_property,36,bank,for_free,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,36,critical_account_or_other_credits_existing,radio_or_television,3342,unknown_or_no_savings_account,bigger_than_7_years,4,male_and_single,none,2,car_or_other,51,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,12,all_credits_at_this_bank_paid_back_duly,radio_or_television,626,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,female_divorced_or_separated_or_married,none,4,real_estate,24,bank,own,1,unskilled_or_resident,1,none,yes,2
bigger_than_0_DM_but_smaller_than_200_DM,48,existing_credits_paid_back_duly_till_now,furniture_or_equipment,9960,smaller_than_100_DM,smaller_than_1_year,1,female_divorced_or_separated_or_married,none,2,car_or_other,26,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
smaller_than_0_DM,18,existing_credits_paid_back_duly_till_now,furniture_or_equipment,2659,bigger_than_1000_DM,bigger_than_1_smaller_than_4_years,4,male_and_single,none,2,car_or_other,28,none,own,1,skilled_employee_or_official,1,none,yes,1
no_checking_account,33,delay_in_paying_off_in_the_past,business,2764,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,2,female_divorced_or_separated_or_married,none,2,car_or_other,26,none,own,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,48,existing_credits_paid_back_duly_till_now,business,15672,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,2,male_and_single,none,2,car_or_other,23,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
bigger_than_0_DM_but_smaller_than_200_DM,12,existing_credits_paid_back_duly_till_now,new_car,1318,bigger_than_1000_DM,bigger_than_7_years,4,male_and_single,none,4,real_estate,54,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,24,existing_credits_paid_back_duly_till_now,radio_or_television,2439,smaller_than_100_DM,smaller_than_1_year,4,female_divorced_or_separated_or_married,none,4,real_estate,35,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
smaller_than_0_DM,12,existing_credits_paid_back_duly_till_now,furniture_or_equipment,1262,unknown_or_no_savings_account,bigger_than_7_years,2,male_divorced_or_separated,none,4,building_society_savings_agreement_or_life_insurance,49,none,own,1,unskilled_or_resident,1,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,24,existing_credits_paid_back_duly_till_now,business,6568,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,2,male_and_married_or_widowed,none,2,car_or_other,21,stores,own,1,unskilled_or_resident,1,none,yes,1
smaller_than_0_DM,24,all_credits_at_this_bank_paid_back_duly,radio_or_television,1546,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,4,male_and_single,guarantor,4,car_or_other,24,bank,rent,1,unskilled_or_resident,1,none,yes,2
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,15,existing_credits_paid_back_duly_till_now,business,2687,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,2,male_and_single,none,4,building_society_savings_agreement_or_life_insurance,26,none,rent,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,18,delay_in_paying_off_in_the_past,repairs,6204,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,2,male_and_single,none,4,real_estate,44,none,own,1,unskilled_or_resident,2,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,6,existing_credits_paid_back_duly_till_now,radio_or_television,590,smaller_than_100_DM,smaller_than_1_year,3,male_and_married_or_widowed,none,3,real_estate,26,none,own,1,unskilled_or_resident,1,none,no,1
no_checking_account,12,critical_account_or_other_credits_existing,furniture_or_equipment,1258,smaller_than_100_DM,smaller_than_1_year,2,female_divorced_or_separated_or_married,none,4,building_society_savings_agreement_or_life_insurance,22,none,rent,2,unskilled_or_resident,1,none,yes,1
smaller_than_0_DM,12,existing_credits_paid_back_duly_till_now,new_car,759,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,4,male_and_single,none,2,real_estate,26,none,own,1,skilled_employee_or_official,1,none,yes,2
no_checking_account,6,existing_credits_paid_back_duly_till_now,new_car,3518,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,2,male_and_single,guarantor,3,building_society_savings_agreement_or_life_insurance,26,none,rent,1,skilled_employee_or_official,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,12,existing_credits_paid_back_duly_till_now,furniture_or_equipment,2762,unknown_or_no_savings_account,bigger_than_7_years,1,female_divorced_or_separated_or_married,none,2,building_society_savings_agreement_or_life_insurance,25,bank,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
bigger_than_0_DM_but_smaller_than_200_DM,15,existing_credits_paid_back_duly_till_now,new_car,2631,bigger_than_100_smaller_than_500_DM,bigger_than_1_smaller_than_4_years,2,female_divorced_or_separated_or_married,none,4,car_or_other,28,none,rent,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
smaller_than_0_DM,12,critical_account_or_other_credits_existing,new_car,3499,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,3,female_divorced_or_separated_or_married,co-applicant,2,real_estate,29,none,own,2,skilled_employee_or_official,1,none,yes,2
no_checking_account,6,critical_account_or_other_credits_existing,radio_or_television,1554,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,1,female_divorced_or_separated_or_married,none,2,car_or_other,24,none,rent,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,24,delay_in_paying_off_in_the_past,new_car,1333,smaller_than_100_DM,unemployed,4,male_and_single,none,2,real_estate,43,none,for_free,2,skilled_employee_or_official,2,none,yes,2
bigger_than_0_DM_but_smaller_than_200_DM,30,existing_credits_paid_back_duly_till_now,new_car,2150,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,female_divorced_or_separated_or_married,guarantor,2,unknown_or_no_property,24,bank,own,1,skilled_employee_or_official,1,none,yes,2
no_checking_account,24,critical_account_or_other_credits_existing,education,1927,unknown_or_no_savings_account,bigger_than_1_smaller_than_4_years,3,female_divorced_or_separated_or_married,none,2,car_or_other,33,none,own,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,9,critical_account_or_other_credits_existing,new_car,1224,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,3,male_and_single,none,1,real_estate,30,none,own,2,skilled_employee_or_official,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,48,existing_credits_paid_back_duly_till_now,radio_or_television,3060,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,4,male_and_single,none,4,real_estate,28,none,own,2,skilled_employee_or_official,1,none,yes,2
no_checking_account,12,existing_credits_paid_back_duly_till_now,radio_or_television,3059,bigger_than_1000_DM,bigger_than_4_smaller_than_7_years,2,male_divorced_or_separated,none,4,real_estate,61,none,own,1,unskilled_or_resident,1,none,yes,1
no_checking_account,36,delay_in_paying_off_in_the_past,business,9572,smaller_than_100_DM,smaller_than_1_year,1,male_divorced_or_separated,none,1,car_or_other,28,none,own,2,skilled_employee_or_official,1,none,yes,2
no_checking_account,15,existing_credits_paid_back_duly_till_now,radio_or_television,1386,unknown_or_no_savings_account,bigger_than_1_smaller_than_4_years,4,male_and_married_or_widowed,none,2,real_estate,40,none,rent,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,18,delay_in_paying_off_in_the_past,business,2427,unknown_or_no_savings_account,bigger_than_7_years,4,male_and_single,none,2,building_society_savings_agreement_or_life_insurance,42,none,own,2,skilled_employee_or_official,1,none,yes,1
no_checking_account,24,existing_credits_paid_back_duly_till_now,used_car,7814,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,3,male_and_single,none,3,car_or_other,38,none,own,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,12,critical_account_or_other_credits_existing,radio_or_television,2331,unknown_or_no_savings_account,bigger_than_7_years,1,male_and_single,co-applicant,4,real_estate,49,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,18,existing_credits_paid_back_duly_till_now,furniture_or_equipment,1131,smaller_than_100_DM,unemployed,4,female_divorced_or_separated_or_married,none,2,car_or_other,33,none,own,1,skilled_employee_or_official,1,none,yes,2
smaller_than_0_DM,14,existing_credits_paid_back_duly_till_now,new_car,3973,smaller_than_100_DM,unemployed,1,male_and_single,none,4,unknown_or_no_property,22,none,for_free,1,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,12,existing_credits_paid_back_duly_till_now,furniture_or_equipment,2578,smaller_than_100_DM,unemployed,3,female_divorced_or_separated_or_married,none,4,unknown_or_no_property,55,none,for_free,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,none,yes,1
smaller_than_0_DM,6,existing_credits_paid_back_duly_till_now,new_car,662,smaller_than_100_DM,smaller_than_1_year,3,male_and_single,none,4,real_estate,41,none,own,1,unskilled_or_resident,2,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,18,existing_credits_paid_back_duly_till_now,radio_or_television,3190,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,2,female_divorced_or_separated_or_married,none,2,real_estate,24,none,own,1,skilled_employee_or_official,1,none,yes,2
smaller_than_0_DM,30,no_credits_taken_or_all_credits_paid_back_duly,business,8072,unknown_or_no_savings_account,smaller_than_1_year,2,male_and_single,none,3,car_or_other,25,bank,own,3,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,36,existing_credits_paid_back_duly_till_now,new_car,3249,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,2,male_and_single,none,4,unknown_or_no_property,39,bank,for_free,1,management_or_self-employed_or_highly_qualified_employee_or_officer,2,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,12,critical_account_or_other_credits_existing,education,2012,unknown_or_no_savings_account,bigger_than_4_smaller_than_7_years,4,female_divorced_or_separated_or_married,none,2,car_or_other,61,none,own,1,skilled_employee_or_official,1,none,yes,1
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,24,critical_account_or_other_credits_existing,business,1275,bigger_than_1000_DM,bigger_than_1_smaller_than_4_years,2,male_divorced_or_separated,none,4,real_estate,36,none,own,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,36,existing_credits_paid_back_duly_till_now,new_car,9271,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,2,male_and_single,none,1,car_or_other,24,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
no_checking_account,36,existing_credits_paid_back_duly_till_now,furniture_or_equipment,10974,smaller_than_100_DM,unemployed,4,female_divorced_or_separated_or_married,none,2,car_or_other,26,none,own,2,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,2
no_checking_account,24,critical_account_or_other_credits_existing,radio_or_television,2578,bigger_than_1000_DM,bigger_than_7_years,2,male_and_single,none,2,car_or_other,34,none,own,1,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,9,existing_credits_paid_back_duly_till_now,radio_or_television,1364,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,3,male_and_single,none,4,real_estate,59,none,own,1,skilled_employee_or_official,1,none,yes,1
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,6,existing_credits_paid_back_duly_till_now,furniture_or_equipment,2116,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,2,male_and_single,none,2,real_estate,41,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,30,existing_credits_paid_back_duly_till_now,furniture_or_equipment,3622,bigger_than_1000_DM,bigger_than_7_years,4,female_divorced_or_separated_or_married,none,4,building_society_savings_agreement_or_life_insurance,57,none,rent,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,9,existing_credits_paid_back_duly_till_now,radio_or_television,1126,bigger_than_100_smaller_than_500_DM,bigger_than_7_years,2,male_divorced_or_separated,none,4,real_estate,49,none,own,1,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,36,critical_account_or_other_credits_existing,furniture_or_equipment,6229,smaller_than_100_DM,smaller_than_1_year,4,female_divorced_or_separated_or_married,co-applicant,4,unknown_or_no_property,23,none,rent,2,unskilled_or_resident,1,"yes,_registered_under_the_customers_name",yes,2
no_checking_account,18,existing_credits_paid_back_duly_till_now,radio_or_television,2051,smaller_than_100_DM,smaller_than_1_year,4,male_and_single,none,1,real_estate,33,none,own,1,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,15,existing_credits_paid_back_duly_till_now,new_car,2511,smaller_than_100_DM,unemployed,1,female_divorced_or_separated_or_married,none,4,car_or_other,23,none,rent,1,skilled_employee_or_official,1,none,yes,1
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,12,all_credits_at_this_bank_paid_back_duly,business,609,smaller_than_100_DM,smaller_than_1_year,4,female_divorced_or_separated_or_married,none,1,real_estate,26,none,own,1,unemployed_or_unskilled_or_non-resident,1,none,yes,2
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,6,critical_account_or_other_credits_existing,new_car,1299,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,1,male_and_single,none,1,real_estate,74,none,own,3,unemployed_or_unskilled_or_non-resident,2,none,no,1
no_checking_account,24,existing_credits_paid_back_duly_till_now,radio_or_television,3105,unknown_or_no_savings_account,smaller_than_1_year,4,male_and_single,none,2,car_or_other,25,none,own,2,skilled_employee_or_official,1,none,yes,1
no_checking_account,24,critical_account_or_other_credits_existing,business,4139,bigger_than_100_smaller_than_500_DM,bigger_than_1_smaller_than_4_years,3,male_and_single,none,3,building_society_savings_agreement_or_life_insurance,27,none,own,2,unskilled_or_resident,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,24,existing_credits_paid_back_duly_till_now,furniture_or_equipment,929,unknown_or_no_savings_account,bigger_than_4_smaller_than_7_years,4,male_and_single,none,2,car_or_other,31,stores,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,18,no_credits_taken_or_all_credits_paid_back_duly,business,3104,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,3,male_and_single,none,1,building_society_savings_agreement_or_life_insurance,31,bank,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,24,all_credits_at_this_bank_paid_back_duly,education,1837,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,4,female_divorced_or_separated_or_married,none,4,unknown_or_no_property,34,bank,for_free,1,unskilled_or_resident,1,none,yes,2
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,18,existing_credits_paid_back_duly_till_now,radio_or_television,2100,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,male_and_single,co-applicant,2,real_estate,37,stores,own,1,skilled_employee_or_official,1,none,yes,2
bigger_than_200_DM_OR_salary_assignments_for_at_least_1_year,6,critical_account_or_other_credits_existing,education,1047,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,2,female_divorced_or_separated_or_married,none,4,building_society_savings_agreement_or_life_insurance,50,none,own,1,unskilled_or_resident,1,none,yes,1
smaller_than_0_DM,15,existing_credits_paid_back_duly_till_now,radio_or_television,1053,smaller_than_100_DM,smaller_than_1_year,4,male_and_married_or_widowed,none,2,real_estate,27,none,own,1,skilled_employee_or_official,1,none,no,1
bigger_than_0_DM_but_smaller_than_200_DM,15,existing_credits_paid_back_duly_till_now,repairs,2631,bigger_than_100_smaller_than_500_DM,bigger_than_1_smaller_than_4_years,3,female_divorced_or_separated_or_married,none,2,real_estate,25,none,own,1,unskilled_or_resident,1,none,yes,1
smaller_than_0_DM,12,existing_credits_paid_back_duly_till_now,education,684,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,male_and_single,none,4,car_or_other,40,none,rent,1,unskilled_or_resident,2,none,yes,2
no_checking_account,12,critical_account_or_other_credits_existing,radio_or_television,976,unknown_or_no_savings_account,bigger_than_7_years,4,male_and_single,none,4,car_or_other,35,none,own,2,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,12,existing_credits_paid_back_duly_till_now,education,1200,unknown_or_no_savings_account,bigger_than_1_smaller_than_4_years,4,female_divorced_or_separated_or_married,none,4,building_society_savings_agreement_or_life_insurance,23,bank,rent,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,6,critical_account_or_other_credits_existing,new_car,6761,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,1,male_and_single,none,3,unknown_or_no_property,45,none,own,2,management_or_self-employed_or_highly_qualified_employee_or_officer,2,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,24,critical_account_or_other_credits_existing,radio_or_television,2424,unknown_or_no_savings_account,bigger_than_7_years,4,male_and_single,none,4,building_society_savings_agreement_or_life_insurance,53,none,own,2,skilled_employee_or_official,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,12,existing_credits_paid_back_duly_till_now,radio_or_television,1534,smaller_than_100_DM,smaller_than_1_year,1,male_and_married_or_widowed,none,1,real_estate,23,none,rent,1,skilled_employee_or_official,1,none,yes,2
bigger_than_0_DM_but_smaller_than_200_DM,42,all_credits_at_this_bank_paid_back_duly,used_car,9283,smaller_than_100_DM,unemployed,1,male_and_single,none,2,unknown_or_no_property,55,bank,for_free,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,24,existing_credits_paid_back_duly_till_now,new_car,3512,bigger_than_100_smaller_than_500_DM,bigger_than_4_smaller_than_7_years,2,male_and_single,none,3,car_or_other,38,bank,own,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
bigger_than_0_DM_but_smaller_than_200_DM,36,existing_credits_paid_back_duly_till_now,education,3711,unknown_or_no_savings_account,bigger_than_1_smaller_than_4_years,2,male_and_married_or_widowed,none,2,car_or_other,27,none,own,1,skilled_employee_or_official,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,8,existing_credits_paid_back_duly_till_now,business,907,smaller_than_100_DM,smaller_than_1_year,3,male_and_married_or_widowed,none,2,real_estate,26,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,48,existing_credits_paid_back_duly_till_now,radio_or_television,6758,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,3,female_divorced_or_separated_or_married,none,2,car_or_other,31,none,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,2
smaller_than_0_DM,18,existing_credits_paid_back_duly_till_now,new_car,2249,bigger_than_100_smaller_than_500_DM,bigger_than_4_smaller_than_7_years,4,male_and_single,none,3,car_or_other,30,none,own,1,management_or_self-employed_or_highly_qualified_employee_or_officer,2,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,9,existing_credits_paid_back_duly_till_now,new_car,1422,smaller_than_100_DM,smaller_than_1_year,3,male_and_single,none,2,unknown_or_no_property,27,none,for_free,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,2
no_checking_account,15,existing_credits_paid_back_duly_till_now,used_car,3029,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,2,male_and_single,none,2,car_or_other,33,none,own,1,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,10,critical_account_or_other_credits_existing,furniture_or_equipment,2132,unknown_or_no_savings_account,smaller_than_1_year,2,female_divorced_or_separated_or_married,co-applicant,3,real_estate,27,none,rent,2,skilled_employee_or_official,1,none,no,1
no_checking_account,4,critical_account_or_other_credits_existing,new_car,1455,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,2,male_and_single,none,1,real_estate,42,none,own,3,unskilled_or_resident,2,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,12,no_credits_taken_or_all_credits_paid_back_duly,furniture_or_equipment,2969,smaller_than_100_DM,smaller_than_1_year,4,female_divorced_or_separated_or_married,none,3,building_society_savings_agreement_or_life_insurance,25,none,rent,2,skilled_employee_or_official,1,none,yes,2
no_checking_account,18,critical_account_or_other_credits_existing,radio_or_television,1800,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,male_and_single,none,2,car_or_other,24,none,own,2,skilled_employee_or_official,1,none,yes,1
no_checking_account,12,critical_account_or_other_credits_existing,education,2096,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,2,male_and_single,none,3,real_estate,49,none,own,1,unskilled_or_resident,2,none,yes,1
no_checking_account,12,existing_credits_paid_back_duly_till_now,radio_or_television,886,unknown_or_no_savings_account,bigger_than_1_smaller_than_4_years,4,female_divorced_or_separated_or_married,none,2,car_or_other,21,none,own,1,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,24,existing_credits_paid_back_duly_till_now,furniture_or_equipment,3149,smaller_than_100_DM,smaller_than_1_year,4,male_and_single,none,1,unknown_or_no_property,22,bank,for_free,1,skilled_employee_or_official,1,none,yes,1
smaller_than_0_DM,9,existing_credits_paid_back_duly_till_now,new_car,654,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,4,male_and_single,none,3,car_or_other,28,none,own,1,unskilled_or_resident,1,none,yes,2
smaller_than_0_DM,6,critical_account_or_other_credits_existing,new_car,860,smaller_than_100_DM,bigger_than_7_years,1,female_divorced_or_separated_or_married,none,4,unknown_or_no_property,39,none,own,2,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,6,delay_in_paying_off_in_the_past,radio_or_television,932,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,3,female_divorced_or_separated_or_married,none,2,real_estate,24,none,own,1,skilled_employee_or_official,1,none,yes,1
bigger_than_0_DM_but_smaller_than_200_DM,18,existing_credits_paid_back_duly_till_now,business,1913,bigger_than_1000_DM,smaller_than_1_year,3,male_and_married_or_widowed,none,3,real_estate,36,bank,own,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
no_checking_account,24,critical_account_or_other_credits_existing,education,1597,smaller_than_100_DM,bigger_than_7_years,4,male_and_single,none,4,unknown_or_no_property,54,none,for_free,2,skilled_employee_or_official,2,none,yes,1
smaller_than_0_DM,12,critical_account_or_other_credits_existing,furniture_or_equipment,2246,smaller_than_100_DM,bigger_than_7_years,3,male_and_single,none,3,building_society_savings_agreement_or_life_insurance,60,none,own,2,skilled_employee_or_official,1,none,yes,2
no_checking_account,18,delay_in_paying_off_in_the_past,furniture_or_equipment,1808,smaller_than_100_DM,bigger_than_4_smaller_than_7_years,4,female_divorced_or_separated_or_married,none,1,real_estate,22,none,own,1,skilled_employee_or_official,1,none,yes,2
bigger_than_0_DM_but_smaller_than_200_DM,18,existing_credits_paid_back_duly_till_now,business,4439,smaller_than_100_DM,bigger_than_7_years,1,male_and_single,co-applicant,1,real_estate,33,bank,own,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,"yes,_registered_under_the_customers_name",yes,1
smaller_than_0_DM,27,existing_credits_paid_back_duly_till_now,radio_or_television,3416,smaller_than_100_DM,bigger_than_1_smaller_than_4_years,3,male_and_single,none,2,car_or_other,27,none,own,1,management_or_self-employed_or_highly_qualified_employee_or_officer,1,none,yes,1
no_checking_account,24,existing_credits_paid_back_duly_till_now,furniture_or_equipment,3062,bigger_than_500_smaller_than_1000_DM,bigger_than_7_years,4,male_and_single,none,3,unknown_or_no_property,32,none,rent,1,skilled_employee_or_official,1,"yes,_registered_under_the_customers_name",yes,1
