Name_of_Agency,Type_of_Travel_Insurance_Agencies,Distribution_Channel_of_Travel_Insurance_Agencies,Name_of_the_Travel_Insurance_Products,Claim_Status,Duration_of_Travel,Destination_of_Travel,Amount_of_Sales_of_Travel_Insurance_Policies,Commission_Received_for_Travel_Insurance_Agency,Age_of_Insured
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,5,MALAYSIA,20.0,0.0,53
JZI,Airlines,Online,Basic_Plan,no,30,PHILIPPINES,30.0,10.5,51
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,31,BANGLADESH,112.0,0.0,57
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,7,GERMANY,39.6,23.76,57
EPX,Travel_Agency,Online,Cancellation_Plan,no,7,VIETNAM,11.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,55,THAILAND,23.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,19,CHINA,112.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,50,UNITED_STATES,112.0,0.0,50
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,21,SINGAPORE,88.0,0.0,36
JZI,Airlines,Online,Value_Plan,no,73,FRANCE,87.0,30.45,34
EPX,Travel_Agency,Online,Cancellation_Plan,no,47,SINGAPORE,48.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,67,"TAIWAN,_PROVINCE_OF_CHINA",50.0,17.5,70
C2B,Airlines,Online,Bronze_Plan,no,22,SINGAPORE,60.0,15.0,34
JZI,Airlines,Online,Basic_Plan,no,14,MALAYSIA,33.0,11.55,69
EPX,Travel_Agency,Online,Cancellation_Plan,no,232,UNITED_KINGDOM,28.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,18,MYANMAR,17.0,0.0,31
JZI,Airlines,Online,Basic_Plan,no,57,INDONESIA,37.0,12.95,43
JZI,Airlines,Online,Basic_Plan,no,55,HONG_KONG,35.0,12.25,32
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,7,AUSTRALIA,29.7,17.82,29
EPX,Travel_Agency,Online,Cancellation_Plan,no,102,MALAYSIA,10.0,0.0,36
SSI,Airlines,Online,Ticket_Protector,no,6,SINGAPORE,21.35,5.98,48
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,4,MALAYSIA,20.0,0.0,41
EPX,Travel_Agency,Online,Cancellation_Plan,no,49,CHINA,51.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,5,MALAYSIA,10.0,0.0,45
SSI,Airlines,Online,Ticket_Protector,no,78,SINGAPORE,8.49,2.38,48
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,33,"KOREA,_REPUBLIC_OF",62.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,123,VIETNAM,38.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,23,THAILAND,29.0,0.0,66
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,INDONESIA,11.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,9,"KOREA,_REPUBLIC_OF",112.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,53,UNITED_KINGDOM,168.3,100.98,54
EPX,Travel_Agency,Online,Cancellation_Plan,no,62,JAPAN,18.0,0.0,36
LWC,Travel_Agency,Online,Single_Trip_Travel_Protect_Platinum,no,123,LAO,31.0,20.15,12
EPX,Travel_Agency,Online,Cancellation_Plan,no,6,CHINA,34.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,13,CHINA,29.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,49,THAILAND,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,150,PHILIPPINES,14.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,13,"KOREA,_REPUBLIC_OF",38.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,6,CHINA,31.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,2,THAILAND,26.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,15,THAILAND,49.5,29.7,33
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,9,JAPAN,20.0,0.0,32
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,94,CHINA,51.0,0.0,42
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,36,UNITED_KINGDOM,59.4,35.64,60
JZI,Airlines,Online,Basic_Plan,no,115,INDONESIA,37.0,12.95,38
TST,Travel_Agency,Offline,Travel_Cruise_Protect,no,21,THAILAND,30.0,10.5,61
EPX,Travel_Agency,Online,Cancellation_Plan,no,103,NEW_ZEALAND,74.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,178,AUSTRALIA,-69.3,41.58,29
C2B,Airlines,Online,Bronze_Plan,no,108,SINGAPORE,33.5,8.38,75
JZI,Airlines,Online,Basic_Plan,no,26,THAILAND,30.0,10.5,46
EPX,Travel_Agency,Online,Cancellation_Plan,no,4,THAILAND,10.0,0.0,39
EPX,Travel_Agency,Online,Cancellation_Plan,no,39,HONG_KONG,37.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,18,BELGIUM,20.0,0.0,36
KML,Travel_Agency,Offline,Premier_Plan,yes,2,INDONESIA,29.0,11.02,35
JZI,Airlines,Online,Basic_Plan,no,48,INDONESIA,42.0,14.7,40
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,9,NEW_ZEALAND,29.7,17.82,52
C2B,Airlines,Online,Silver_Plan,yes,46,SINGAPORE,95.0,23.75,24
SSI,Airlines,Online,Ticket_Protector,no,1,SINGAPORE,-0.07,0.02,99
EPX,Travel_Agency,Online,Cancellation_Plan,no,83,PHILIPPINES,17.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,28,CHINA,46.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,3,AUSTRALIA,19.8,11.88,31
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,37,UNITED_KINGDOM,118.8,71.28,49
SSI,Airlines,Online,Ticket_Protector,no,151,SINGAPORE,0.96,0.27,48
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,63,AUSTRALIA,89.1,53.46,34
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,16,INDONESIA,37.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,27,MALAYSIA,29.7,17.82,51
EPX,Travel_Agency,Online,Cancellation_Plan,no,31,SINGAPORE,26.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,93,UNITED_STATES,53.0,0.0,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,INDONESIA,10.0,0.0,54
JWT,Airlines,Online,Value_Plan,no,26,INDIA,39.0,15.6,99
C2B,Airlines,Online,Bronze_Plan,no,14,SINGAPORE,33.5,8.38,28
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,23,THAILAND,112.0,0.0,41
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,22,NEW_ZEALAND,0.0,5.94,67
SSI,Airlines,Online,Ticket_Protector,no,30,SINGAPORE,4.63,1.3,48
EPX,Travel_Agency,Online,Cancellation_Plan,no,14,CHINA,68.0,0.0,35
EPX,Travel_Agency,Online,Cancellation_Plan,no,17,THAILAND,10.0,0.0,40
EPX,Travel_Agency,Online,Cancellation_Plan,no,272,UNITED_KINGDOM,80.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,12,INDIA,78.0,0.0,36
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,10,INDONESIA,20.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,63,AUSTRALIA,0.0,29.7,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,40,NEPAL,17.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,15,CAMBODIA,27.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,14,AUSTRALIA,-9.9,5.94,39
EPX,Travel_Agency,Online,Cancellation_Plan,no,28,INDIA,35.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,217,AUSTRALIA,-89.1,53.46,40
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,7,AUSTRALIA,39.6,23.76,44
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,34,NEW_ZEALAND,69.3,41.58,31
C2B,Airlines,Online,Bronze_Plan,no,10,SINGAPORE,20.0,5.0,29
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,24,CHINA,27.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,8,NETHERLANDS,79.2,47.52,43
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,42,MALAYSIA,29.7,17.82,33
EPX,Travel_Agency,Online,Cancellation_Plan,no,9,INDIA,23.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,100,CHINA,69.0,24.15,22
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,63,"TAIWAN,_PROVINCE_OF_CHINA",20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,1,MALAYSIA,10.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,37,"TAIWAN,_PROVINCE_OF_CHINA",35.0,12.25,49
JZI,Airlines,Online,Basic_Plan,no,32,VIETNAM,30.0,10.5,31
RAB,Airlines,Online,Value_Plan,no,5,BRUNEI_DARUSSALAM,15.0,6.0,28
EPX,Travel_Agency,Online,Cancellation_Plan,no,6,SINGAPORE,51.0,0.0,39
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,MALAYSIA,10.0,0.0,29
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,VIETNAM,11.0,0.0,43
JZI,Airlines,Online,Basic_Plan,no,101,THAILAND,22.0,7.7,61
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,6,JAPAN,75.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,12,"TAIWAN,_PROVINCE_OF_CHINA",57.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,13,THAILAND,22.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,182,ITALY,62.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,38,MYANMAR,12.0,0.0,36
C2B,Airlines,Online,Silver_Plan,no,22,SINGAPORE,64.35,16.09,29
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,11,THAILAND,41.0,0.0,50
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,99,JAPAN,59.4,35.64,51
EPX,Travel_Agency,Online,Cancellation_Plan,no,36,SPAIN,29.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,29,THAILAND,12.0,0.0,34
EPX,Travel_Agency,Online,Cancellation_Plan,no,10,INDIA,21.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,8,MALAYSIA,10.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,90,"KOREA,_REPUBLIC_OF",42.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,111,SPAIN,10.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,11,SINGAPORE,47.0,11.75,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,31,THAILAND,0.0,23.76,51
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,21,MALAYSIA,54.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,15,CHINA,46.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,12,SPAIN,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,6,MYANMAR,10.0,0.0,56
EPX,Travel_Agency,Online,Cancellation_Plan,no,7,PHILIPPINES,66.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,23,THAILAND,29.7,17.82,41
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,13,JAPAN,44.0,0.0,36
TST,Travel_Agency,Offline,Travel_Cruise_Protect,no,22,MALAYSIA,30.0,10.5,69
EPX,Travel_Agency,Online,Cancellation_Plan,no,7,CANADA,21.0,0.0,56
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,8,INDONESIA,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,146,PHILIPPINES,0.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,34,CHINA,50.0,17.5,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,45,SINGAPORE,11.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,10,CHINA,38.0,0.0,36
SSI,Airlines,Online,Ticket_Protector,no,110,SINGAPORE,8.4,2.35,48
EPX,Travel_Agency,Online,Cancellation_Plan,no,18,MALAYSIA,10.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,11,MALAYSIA,20.0,0.0,35
JZI,Airlines,Online,Basic_Plan,no,11,PHILIPPINES,30.0,10.5,25
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,11,AUSTRALIA,39.6,23.76,31
EPX,Travel_Agency,Online,Cancellation_Plan,no,50,PAKISTAN,11.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,11,CHINA,23.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,25,CHINA,26.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,5,THAILAND,27.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,21,MALAYSIA,33.0,11.55,45
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,6,HONG_KONG,28.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,34,THAILAND,11.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,17,SINGAPORE,16.0,4.0,32
EPX,Travel_Agency,Online,Cancellation_Plan,no,6,VIETNAM,21.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,73,AUSTRALIA,108.9,65.34,47
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,60,ITALY,51.0,0.0,26
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,134,THAILAND,55.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,34,VIETNAM,0.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,114,MALAYSIA,0.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,3,MALAYSIA,10.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,88,"KOREA,_REPUBLIC_OF",26.0,9.1,55
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,131,JAPAN,63.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,40,INDONESIA,27.0,0.0,22
C2B,Airlines,Online,Bronze_Plan,no,5,SINGAPORE,13.5,3.38,25
JZI,Airlines,Online,Basic_Plan,no,158,JAPAN,40.0,14.0,50
EPX,Travel_Agency,Online,Cancellation_Plan,no,9,MALAYSIA,10.0,0.0,67
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,56,JAPAN,58.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,60,SINGAPORE,14.0,0.0,35
EPX,Travel_Agency,Online,Cancellation_Plan,no,13,PHILIPPINES,10.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,8,VIETNAM,42.0,0.0,36
JWT,Airlines,Online,Value_Plan,no,9,INDIA,39.0,15.6,99
EPX,Travel_Agency,Online,Cancellation_Plan,no,35,HONG_KONG,10.0,0.0,29
C2B,Airlines,Online,Annual_Silver_Plan,no,364,SINGAPORE,216.0,54.0,29
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,16,THAILAND,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,26,PHILIPPINES,15.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,17,"KOREA,_REPUBLIC_OF",63.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,87,SINGAPORE,10.0,0.0,40
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,11,MALAYSIA,43.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,167,SINGAPORE,20.0,0.0,26
C2B,Airlines,Online,Annual_Silver_Plan,no,365,SINGAPORE,216.0,54.0,35
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,10,AUSTRALIA,0.0,29.7,41
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,23,INDONESIA,20.0,0.0,27
JZI,Airlines,Online,Basic_Plan,no,5,INDONESIA,18.0,6.3,28
EPX,Travel_Agency,Online,Cancellation_Plan,no,13,CHINA,19.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,3,THAILAND,18.0,6.3,45
C2B,Airlines,Online,Bronze_Plan,no,10,SINGAPORE,34.0,8.5,45
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,68,AUSTRALIA,128.7,77.22,31
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,239,HONG_KONG,25.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,55,SINGAPORE,26.0,6.5,30
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,19,JAPAN,112.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,122,GUAM,-9.9,5.94,48
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,35,INDONESIA,20.0,0.0,30
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,82,MALAYSIA,20.0,0.0,56
JZI,Airlines,Online,Value_Plan,no,60,SWITZERLAND,87.0,30.45,45
EPX,Travel_Agency,Online,Cancellation_Plan,no,12,VIETNAM,10.0,0.0,55
JZI,Airlines,Online,Basic_Plan,yes,18,MALAYSIA,30.0,10.5,38
EPX,Travel_Agency,Offline,1_way_Comprehensive_Plan,no,29,PHILIPPINES,20.0,0.0,99
EPX,Travel_Agency,Online,Cancellation_Plan,no,10,MALAYSIA,10.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,120,TURKEY,-99.0,0.0,36
C2B,Airlines,Online,Annual_Silver_Plan,no,391,SINGAPORE,216.0,54.0,24
JZI,Airlines,Online,Basic_Plan,no,53,NEPAL,31.0,10.85,27
EPX,Travel_Agency,Online,Cancellation_Plan,no,14,SINGAPORE,10.0,0.0,31
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,11,CANADA,103.0,0.0,24
C2B,Airlines,Online,Bronze_Plan,no,14,SINGAPORE,33.5,8.38,27
JZI,Airlines,Online,Value_Plan,no,4,PHILIPPINES,33.0,11.55,45
C2B,Airlines,Online,Gold_Plan,no,39,SINGAPORE,57.5,14.38,47
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,54,INDIA,28.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,4,PHILIPPINES,10.0,0.0,42
EPX,Travel_Agency,Online,Cancellation_Plan,no,7,INDONESIA,19.0,0.0,39
C2B,Airlines,Online,Annual_Silver_Plan,no,389,SINGAPORE,252.85,63.21,38
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,80,HONG_KONG,20.0,0.0,36
JZI,Airlines,Online,Basic_Plan,no,28,THAILAND,18.0,6.3,57
EPX,Travel_Agency,Online,Cancellation_Plan,no,91,INDONESIA,30.0,0.0,59
SSI,Airlines,Online,Ticket_Protector,yes,63,SINGAPORE,9.33,2.62,48
JWT,Airlines,Online,Value_Plan,no,97,INDIA,31.0,12.4,99
EPX,Travel_Agency,Online,Cancellation_Plan,no,1,SINGAPORE,10.0,0.0,28
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,29,INDONESIA,22.0,0.0,36
C2B,Airlines,Online,Annual_Silver_Plan,no,367,SINGAPORE,216.0,54.0,37
EPX,Travel_Agency,Online,Cancellation_Plan,no,26,SINGAPORE,48.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,37,SINGAPORE,99.0,24.75,29
EPX,Travel_Agency,Online,Cancellation_Plan,no,101,SPAIN,10.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,274,CANADA,74.0,0.0,30
EPX,Travel_Agency,Online,Cancellation_Plan,no,8,INDONESIA,13.0,0.0,43
JZI,Airlines,Online,Basic_Plan,no,6,MALAYSIA,18.0,6.3,46
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,106,UNITED_STATES,112.0,0.0,40
JZI,Airlines,Online,Basic_Plan,no,17,CHINA,35.0,12.25,42
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,100,UNITED_KINGDOM,94.0,0.0,36
SSI,Airlines,Online,Ticket_Protector,no,106,SINGAPORE,4.42,1.24,48
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,3,MALAYSIA,19.8,11.88,50
C2B,Airlines,Online,Bronze_Plan,no,4,SINGAPORE,16.0,4.0,60
C2B,Airlines,Online,Annual_Silver_Plan,no,367,SINGAPORE,187.85,46.96,70
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,14,THAILAND,32.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,24,FRANCE,24.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,7,PHILIPPINES,23.0,0.0,29
EPX,Travel_Agency,Online,Cancellation_Plan,no,192,AUSTRALIA,28.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,12,SPAIN,22.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,12,UNITED_STATES,99.0,0.0,42
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,77,AUSTRALIA,69.3,41.58,48
EPX,Travel_Agency,Online,Cancellation_Plan,no,76,THAILAND,15.0,0.0,36
C2B,Airlines,Online,Silver_Plan,no,13,SINGAPORE,29.5,7.38,34
C2B,Airlines,Online,Silver_Plan,no,35,SINGAPORE,39.0,9.75,31
JZI,Airlines,Online,Value_Plan,no,24,CHINA,58.0,20.3,33
EPX,Travel_Agency,Online,Cancellation_Plan,no,4,INDIA,12.0,0.0,30
JZI,Airlines,Online,Basic_Plan,no,15,MYANMAR,18.0,6.3,58
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,174,THAILAND,59.4,35.64,39
C2B,Airlines,Online,Bronze_Plan,no,19,SINGAPORE,26.5,6.63,36
JZI,Airlines,Online,Basic_Plan,no,70,"KOREA,_REPUBLIC_OF",35.0,12.25,27
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,22,SINGAPORE,20.0,0.0,28
EPX,Travel_Agency,Online,Cancellation_Plan,no,15,CHINA,15.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,2,SINGAPORE,10.0,0.0,49
TST,Travel_Agency,Offline,Travel_Cruise_Protect,no,14,THAILAND,30.0,10.5,52
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,6,NEW_ZEALAND,98.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,6,VIETNAM,13.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,9,SERBIA,10.0,0.0,36
C2B,Airlines,Online,Silver_Plan,no,4,SINGAPORE,18.5,4.63,28
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,64,JAPAN,57.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,6,AUSTRALIA,49.5,29.7,59
C2B,Airlines,Online,Bronze_Plan,no,10,SINGAPORE,17.55,4.39,58
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,24,"TAIWAN,_PROVINCE_OF_CHINA",49.5,29.7,37
C2B,Airlines,Online,Bronze_Plan,no,106,SINGAPORE,63.6,15.9,34
JZI,Airlines,Online,Basic_Plan,no,6,CHINA,26.0,9.1,42
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,36,SWEDEN,9.9,5.94,30
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,97,SPAIN,0.0,53.46,46
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,23,AUSTRALIA,59.4,35.64,43
C2B,Airlines,Online,Annual_Silver_Plan,no,385,SINGAPORE,216.0,54.0,26
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,15,THAILAND,20.0,0.0,27
RAB,Airlines,Online,Value_Plan,no,28,BRUNEI_DARUSSALAM,15.0,6.0,61
JZI,Airlines,Online,Value_Plan,no,42,UNITED_KINGDOM,87.0,30.45,45
EPX,Travel_Agency,Online,Cancellation_Plan,no,24,BANGLADESH,19.0,0.0,39
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,29,CHINA,27.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,21,PHILIPPINES,20.0,0.0,56
C2B,Airlines,Online,Bronze_Plan,no,12,SINGAPORE,21.0,5.25,32
JZI,Airlines,Online,Basic_Plan,no,37,VIETNAM,18.0,6.3,39
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,51,MALAYSIA,20.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,92,INDONESIA,11.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,1,SINGAPORE,10.0,0.0,35
C2B,Airlines,Online,Silver_Plan,no,35,SINGAPORE,76.3,19.07,48
EPX,Travel_Agency,Online,Cancellation_Plan,no,13,SINGAPORE,10.0,0.0,25
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,2,INDONESIA,20.0,0.0,36
C2B,Airlines,Online,Bronze_Plan,no,5,SINGAPORE,17.55,4.39,34
EPX,Travel_Agency,Online,Cancellation_Plan,no,4,INDIA,65.0,0.0,36
JWT,Airlines,Online,Value_Plan,no,5,INDIA,31.0,12.4,99
JWT,Airlines,Online,Value_Plan,no,15,INDIA,31.0,12.4,99
C2B,Airlines,Online,Bronze_Plan,no,8,SINGAPORE,13.5,3.38,39
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,10,MALAYSIA,20.0,0.0,36
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,38,CHINA,60.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,52,SINGAPORE,50.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,41,AUSTRALIA,79.2,47.52,34
C2B,Airlines,Online,Bronze_Plan,no,5,SINGAPORE,16.0,4.0,30
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,106,JAPAN,69.3,41.58,28
EPX,Travel_Agency,Online,1_way_Comprehensive_Plan,no,11,SINGAPORE,42.0,0.0,36
EPX,Travel_Agency,Online,Cancellation_Plan,no,43,UNITED_STATES,80.0,0.0,54
EPX,Travel_Agency,Online,2_way_Comprehensive_Plan,no,35,VIETNAM,38.0,0.0,36
CWT,Travel_Agency,Online,Rental_Vehicle_Excess_Insurance,no,23,MALAYSIA,29.7,17.82,31
